id,title,display_name,publication_date,language
https://openalex.org/W2087484885,"G*Power 3: A flexible statistical power analysis program for the social, behavioral, and biomedical sciences","G*Power 3: A flexible statistical power analysis program for the social, behavioral, and biomedical sciences",2007-05-01,en
https://openalex.org/W4294215472,Preferred Reporting Items for Systematic Reviews and Meta-Analyses: The PRISMA Statement,Preferred Reporting Items for Systematic Reviews and Meta-Analyses: The PRISMA Statement,2009-07-20,en
https://openalex.org/W2134812217,Single-Step Method of RNA Isolation by Acid Guanidinium Thiocyanate–Phenol–Chloroform Extraction,Single-Step Method of RNA Isolation by Acid Guanidinium Thiocyanate–Phenol–Chloroform Extraction,1987-04-01,en
https://openalex.org/W2230728100,Self-Consistent Equations Including Exchange and Correlation Effects,Self-Consistent Equations Including Exchange and Correlation Effects,1965-11-15,en
https://openalex.org/W2103441770,Fast and accurate short read alignment with Burrows–Wheeler transform,Fast and accurate short read alignment with Burrows–Wheeler transform,2009-05-18,en
https://openalex.org/W2125435699,Measuring inconsistency in meta-analyses,Measuring inconsistency in meta-analyses,2003-09-04,en
https://openalex.org/W2108598243,ImageNet: A large-scale hierarchical image database,ImageNet: A large-scale hierarchical image database,2009-06-01,en
https://openalex.org/W2170551349,Fast gapped-read alignment with Bowtie 2,Fast gapped-read alignment with Bowtie 2,2012-03-04,en
https://openalex.org/W1987258130,Evaluating Structural Equation Models with Unobservable Variables and Measurement Error,Evaluating Structural Equation Models with Unobservable Variables and Measurement Error,1981-02-01,en
https://openalex.org/W2097706568,The neighbor-joining method: a new method for reconstructing phylogenetic trees.,The neighbor-joining method: a new method for reconstructing phylogenetic trees.,1987-07-01,en
https://openalex.org/W2298230951,Official Methods of Analysis of,Official Methods of Analysis of,1980-02-01,en
https://openalex.org/W2112796928,Gradient-based learning applied to document recognition,Gradient-based learning applied to document recognition,1998-01-01,en
https://openalex.org/W2132905138,CRC Handbook of Chemistry and Physics,CRC Handbook of Chemistry and Physics,2014-06-04,en
https://openalex.org/W2092157292,A consistent and accurate<i>ab initio</i>parametrization of density functional dispersion correction (DFT-D) for the 94 elements H-Pu,A consistent and accurate<i>ab initio</i>parametrization of density functional dispersion correction (DFT-D) for the 94 elements H-Pu,2010-04-16,en
https://openalex.org/W2130410032,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles,Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles,2005-09-30,en
https://openalex.org/W2157823046,"Bias in meta-analysis detected by a simple, graphical test","Bias in meta-analysis detected by a simple, graphical test",1997-09-13,en
https://openalex.org/W2169456326,STAR: ultrafast universal RNA-seq aligner,STAR: ultrafast universal RNA-seq aligner,2012-10-25,en
https://openalex.org/W2133665775,Image quality assessment: from error visibility to structural similarity,Image quality assessment: from error visibility to structural similarity,2004-04-01,en
https://openalex.org/W2114918609,Rapid colorimetric assay for cellular growth and survival: Application to proliferation and cytotoxicity assays,Rapid colorimetric assay for cellular growth and survival: Application to proliferation and cytotoxicity assays,1983-12-01,en
https://openalex.org/W2151103935,Distinctive Image Features from Scale-Invariant Keypoints,Distinctive Image Features from Scale-Invariant Keypoints,2004-06-02,en
https://openalex.org/W2106787323,Global cancer statistics,Global cancer statistics,2011-02-04,en
https://openalex.org/W639708223,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,2016-06-06,en
https://openalex.org/W2135943618,Mind in Society: The Development of Higher Psychological Processes,Mind in Society: The Development of Higher Psychological Processes,1978-01-01,en
https://openalex.org/W2101108802,Electrophoretic transfer of proteins from polyacrylamide gels to nitrocellulose sheets: procedure and some applications.,Electrophoretic transfer of proteins from polyacrylamide gels to nitrocellulose sheets: procedure and some applications.,1979-09-01,en
https://openalex.org/W2086957099,Density-functional exchange-energy approximation with correct asymptotic behavior,Density-functional exchange-energy approximation with correct asymptotic behavior,1988-09-01,en
https://openalex.org/W2112778345,The CES-D Scale,The CES-D Scale,1977-06-01,en
https://openalex.org/W2163815564,The Rat Brain in Stereotaxic Coordinates,The Rat Brain in Stereotaxic Coordinates,1982-01-01,en
https://openalex.org/W3001118548,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China","Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020-01-24,en
https://openalex.org/W2135046866,Regression Shrinkage and Selection Via the Lasso,Regression Shrinkage and Selection Via the Lasso,1996-01-01,en
https://openalex.org/W1968834637,Colorimetric Method for Determination of Sugars and Related Substances,Colorimetric Method for Determination of Sugars and Related Substances,1956-03-01,en
https://openalex.org/W2093274439,Research electronic data capture (REDCap)—A metadata-driven methodology and workflow process for providing translational research informatics support,Research electronic data capture (REDCap)—A metadata-driven methodology and workflow process for providing translational research informatics support,2008-10-01,en
https://openalex.org/W2142635246,A new look at the statistical model identification,A new look at the statistical model identification,1974-12-01,en
https://openalex.org/W2964121744,,,2021-01-01,en
https://openalex.org/W2000445173,A new method of classifying prognostic comorbidity in longitudinal studies: Development and validation,A new method of classifying prognostic comorbidity in longitudinal studies: Development and validation,1987-01-01,en
https://openalex.org/W2049633694,Maximum Likelihood from Incomplete Data Via the <i>EM</i> Algorithm,Maximum Likelihood from Incomplete Data Via the <i>EM</i> Algorithm,1977-09-01,en
https://openalex.org/W3023540311,"Genetic algorithms in search, optimization, and machine learning","Genetic algorithms in search, optimization, and machine learning",1989-10-01,en
https://openalex.org/W2152311269,A RAPID METHOD OF TOTAL LIPID EXTRACTION AND PURIFICATION,A RAPID METHOD OF TOTAL LIPID EXTRACTION AND PURIFICATION,1959-08-01,en
https://openalex.org/W2295598076,XGBoost,XGBoost,2016-08-08,en
https://openalex.org/W2160378127,MAFFT Multiple Sequence Alignment Software Version 7: Improvements in Performance and Usability,MAFFT Multiple Sequence Alignment Software Version 7: Improvements in Performance and Usability,2013-01-16,en
https://openalex.org/W2152207030,MEGA6: Molecular Evolutionary Genetics Analysis Version 6.0,MEGA6: Molecular Evolutionary Genetics Analysis Version 6.0,2013-10-16,en
https://openalex.org/W2132629607,UCSF Chimera—A visualization system for exploratory research and analysis,UCSF Chimera—A visualization system for exploratory research and analysis,2004-07-01,en
https://openalex.org/W2126105956,A fast and elitist multiobjective genetic algorithm: NSGA-II,A fast and elitist multiobjective genetic algorithm: NSGA-II,2002-04-01,en
https://openalex.org/W2015795623,STATISTICAL METHODS FOR ASSESSING AGREEMENT BETWEEN TWO METHODS OF CLINICAL MEASUREMENT,STATISTICAL METHODS FOR ASSESSING AGREEMENT BETWEEN TWO METHODS OF CLINICAL MEASUREMENT,1986-02-01,en
https://openalex.org/W2152195021,Particle swarm optimization,Particle swarm optimization,2002-11-19,en
https://openalex.org/W2018289835,"Short-Term Effects of Nose-Only Cigarette Smoke Exposure on Glutathione Redox Homeostasis, Cytochrome P450 1A1/2 and Respiratory Enzyme Activities in Mice Tissues","Short-Term Effects of Nose-Only Cigarette Smoke Exposure on Glutathione Redox Homeostasis, Cytochrome P450 1A1/2 and Respiratory Enzyme Activities in Mice Tissues",2013-01-01,en
https://openalex.org/W2912565176,Fuzzy sets,Fuzzy sets,1996-08-01,en
https://openalex.org/W3011865677,Prospect Theory: An Analysis of Decision under Risk,Prospect Theory: An Analysis of Decision under Risk,1979-03-01,en
https://openalex.org/W4294216491,Single-step method of RNA isolation by acid guanidinium thiocyanate-phenol-chloroform extraction,Single-step method of RNA isolation by acid guanidinium thiocyanate-phenol-chloroform extraction,1987-04-01,en
https://openalex.org/W2097117768,Going deeper with convolutions,Going deeper with convolutions,2015-06-01,en
https://openalex.org/W2329395632,The Discovery of Grounded Theory: Strategies for Qualitative Research.,The Discovery of Grounded Theory: Strategies for Qualitative Research.,1968-06-01,en
https://openalex.org/W2166281097,The Hospital Anxiety and Depression Scale,The Hospital Anxiety and Depression Scale,1983-06-01,en
https://openalex.org/W2132926880,MUSCLE: multiple sequence alignment with high accuracy and high throughput,MUSCLE: multiple sequence alignment with high accuracy and high throughput,2004-03-08,en
https://openalex.org/W4297081765,Harvard business review,Harvard business review,1994-09-01,en
https://openalex.org/W2896457183,AI-Assisted Pipeline for Dynamic Generation of Trustworthy Health Supplement Content at Scale,AI-Assisted Pipeline for Dynamic Generation of Trustworthy Health Supplement Content at Scale,2018-10-11,en
https://openalex.org/W2311203695,MEGA7: Molecular Evolutionary Genetics Analysis Version 7.0 for Bigger Datasets,MEGA7: Molecular Evolutionary Genetics Analysis Version 7.0 for Bigger Datasets,2016-03-22,en
https://openalex.org/W1556808170,Qualitative Data Analysis: An Expanded Sourcebook,Qualitative Data Analysis: An Expanded Sourcebook,1994-12-01,en
https://openalex.org/W3124536214,Firm Resources and Sustained Competitive Advantage,Firm Resources and Sustained Competitive Advantage,1991-03-01,en
https://openalex.org/W1979300931,Nonparametric Estimation from Incomplete Observations,Nonparametric Estimation from Incomplete Observations,1992-01-01,en
https://openalex.org/W3177828909,Highly accurate protein structure prediction with AlphaFold,Highly accurate protein structure prediction with AlphaFold,2021-07-15,en
https://openalex.org/W1849190772,"Introduction to Mediation, Moderation, and Conditional Process Analysis: A Regression-Based Approach","Introduction to Mediation, Moderation, and Conditional Process Analysis: A Regression-Based Approach",2013-05-06,en
https://openalex.org/W2991792334,Preferred reporting items for systematic reviews and meta-analyses: the PRISMA Statement.,Preferred reporting items for systematic reviews and meta-analyses: the PRISMA Statement.,2009-01-01,en
https://openalex.org/W2079105963,<i>Ab initio</i>molecular dynamics for liquid metals,<i>Ab initio</i>molecular dynamics for liquid metals,1993-01-01,en
https://openalex.org/W2963446712,Densely Connected Convolutional Networks,Densely Connected Convolutional Networks,2017-07-01,en
https://openalex.org/W2103017472,Gene Ontology: tool for the unification of biology,Gene Ontology: tool for the unification of biology,2000-05-01,en
https://openalex.org/W2011039300,Computers and Intractability: A Guide to the Theory of NP-Completeness,Computers and Intractability: A Guide to the Theory of NP-Completeness,1979-01-01,en
https://openalex.org/W2019465613,Fast Parallel Algorithms for Short-Range Molecular Dynamics,Fast Parallel Algorithms for Short-Range Molecular Dynamics,1995-03-01,en
https://openalex.org/W2024060531,Optimization by Simulated Annealing,Optimization by Simulated Annealing,1983-05-13,en
https://openalex.org/W2114104545,<tt>edgeR</tt> : a Bioconductor package for differential expression analysis of digital gene expression data,<tt>edgeR</tt> : a Bioconductor package for differential expression analysis of digital gene expression data,2009-11-11,en
https://openalex.org/W2132322340,The PHQ-9,The PHQ-9,2001-09-01,en
https://openalex.org/W2142225512,Three Approaches to Qualitative Content Analysis,Three Approaches to Qualitative Content Analysis,2005-10-04,en
https://openalex.org/W2159306398,Coefficient Alpha and the Internal Structure of Tests,Coefficient Alpha and the Internal Structure of Tests,1951-09-01,en
https://openalex.org/W2112090702,Collective dynamics of ‘small-world’ networks,Collective dynamics of ‘small-world’ networks,1998-06-01,en
https://openalex.org/W2133059825,A Threshold Selection Method from Gray-Level Histograms,A Threshold Selection Method from Gray-Level Histograms,1979-01-01,en
https://openalex.org/W2146512944,limma powers differential expression analyses for RNA-sequencing and microarray studies,limma powers differential expression analyses for RNA-sequencing and microarray studies,2015-01-20,en
https://openalex.org/W2132525235,Multiwfn: A multifunctional wavefunction analyzer,Multiwfn: A multifunctional wavefunction analyzer,2011-12-08,en
https://openalex.org/W2018858346,Helical microtubules of graphitic carbon,Helical microtubules of graphitic carbon,1991-11-01,en
https://openalex.org/W4292808503,Self-efficacy: Toward a unifying theory of behavioral change.,Self-efficacy: Toward a unifying theory of behavioral change.,1977-01-01,en
https://openalex.org/W1969360633,Crystal structure refinement with<i>SHELXL</i>,Crystal structure refinement with<i>SHELXL</i>,2014-12-30,en
https://openalex.org/W2100379340,User Acceptance of Information Technology: Toward A Unified View1,User Acceptance of Information Technology: Toward A Unified View1,2003-09-01,en
https://openalex.org/W1861492603,Microsoft COCO: Common Objects in Context,Microsoft COCO: Common Objects in Context,2014-01-01,en
https://openalex.org/W2037557484,A power primer.,A power primer.,1992-01-01,en
https://openalex.org/W2009435671,Model Selection and Multimodel Inference: A Practical Information-Theoretic Approach,Model Selection and Multimodel Inference: A Practical Information-Theoretic Approach,2003-07-01,en
https://openalex.org/W1976499671,Comparison of simple potential functions for simulating liquid water,Comparison of simple potential functions for simulating liquid water,1983-07-15,en
https://openalex.org/W2138664283,Consolidated criteria for reporting qualitative research (COREQ): a 32-item checklist for interviews and focus groups,Consolidated criteria for reporting qualitative research (COREQ): a 32-item checklist for interviews and focus groups,2007-09-15,en
https://openalex.org/W2030966943,CONFIDENCE LIMITS ON PHYLOGENIES: AN APPROACH USING THE BOOTSTRAP,CONFIDENCE LIMITS ON PHYLOGENIES: AN APPROACH USING THE BOOTSTRAP,1985-07-01,en
https://openalex.org/W2153635508,LIBSVM,LIBSVM,2011-04-01,en
https://openalex.org/W2053154970,A Coefficient of Agreement for Nominal Scales,A Coefficient of Agreement for Nominal Scales,1960-04-01,en
https://openalex.org/W2120062331,Handbook of Mathematical Functions,Handbook of Mathematical Functions,1966-02-01,en
https://openalex.org/W1562208008,Self-Efficacy: The Exercise of Control,Self-Efficacy: The Exercise of Control,1999-01-01,en
https://openalex.org/W4239510810,Support-vector networks,Support-vector networks,1995-09-01,en
https://openalex.org/W2891378911,PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation,PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation,2018-09-03,en
https://openalex.org/W2132632499,"MEGA5: Molecular Evolutionary Genetics Analysis Using Maximum Likelihood, Evolutionary Distance, and Maximum Parsimony Methods","MEGA5: Molecular Evolutionary Genetics Analysis Using Maximum Likelihood, Evolutionary Distance, and Maximum Parsimony Methods",2011-05-04,en
https://openalex.org/W2117539524,ImageNet Large Scale Visual Recognition Challenge,ImageNet Large Scale Visual Recognition Challenge,2015-04-10,en
https://openalex.org/W2006479099,Case Study Research: Design and Methods,Case Study Research: Design and Methods,1991-02-01,en
https://openalex.org/W2130479394,The Protein Data Bank,The Protein Data Bank,2000-01-01,en
https://openalex.org/W2116199508,Situated Learning: Legitimate Peripheral Participation.,Situated Learning: Legitimate Peripheral Participation.,1994-06-01,en
https://openalex.org/W2122912498,Structural equation modeling in practice: A review and recommended two-step approach.,Structural equation modeling in practice: A review and recommended two-step approach.,1988-05-01,en
https://openalex.org/W1995945562,An Introduction to the Bootstrap,An Introduction to the Bootstrap,1994-05-15,en
https://openalex.org/W2011301426,Matplotlib: A 2D Graphics Environment,Matplotlib: A 2D Graphics Environment,2007-01-01,en
https://openalex.org/W2014935324,The rise of graphene,The rise of graphene,2007-03-01,en
https://openalex.org/W2107328434,Meta-analysis in clinical trials,Meta-analysis in clinical trials,1986-09-01,en
https://openalex.org/W2156909104,The Nature of Statistical Learning Theory,The Nature of Statistical Learning Theory,1995-01-01,en
https://openalex.org/W3147894994,Regression Models and Life-Tables,Regression Models and Life-Tables,1972-01-01,en
https://openalex.org/W4294216483,KEGG: Kyoto Encyclopedia of Genes and Genomes,KEGG: Kyoto Encyclopedia of Genes and Genomes,2000-01-01,en
https://openalex.org/W2097382368,The CLUSTAL_X windows interface: flexible strategies for multiple sequence alignment aided by quality analysis tools,The CLUSTAL_X windows interface: flexible strategies for multiple sequence alignment aided by quality analysis tools,1997-12-15,en
https://openalex.org/W4293241248,Nonparametric Estimation from Incomplete Observations,Nonparametric Estimation from Incomplete Observations,1958-06-01,en
https://openalex.org/W2146691185,The Discovery of Grounded Theory; Strategies for Qualitative Research,The Discovery of Grounded Theory; Strategies for Qualitative Research,1968-07-01,en
https://openalex.org/W1658908529,Basics of qualitative research : techniques and procedures for developing grounded theory,Basics of qualitative research : techniques and procedures for developing grounded theory,1998-01-01,en
https://openalex.org/W2799524357,MEGA X: Molecular Evolutionary Genetics Analysis across Computing Platforms,MEGA X: Molecular Evolutionary Genetics Analysis across Computing Platforms,2018-05-01,en
https://openalex.org/W2561675875,Lecture Notes in Computer Science 1205,Lecture Notes in Computer Science 1205,1999-08-01,en
https://openalex.org/W1483247593,BIOEDIT: A USER-FRIENDLY BIOLOGICAL SEQUENCE ALIGNMENT EDITOR AND ANALYSIS PROGRAM FOR WINDOWS 95/98/ NT,BIOEDIT: A USER-FRIENDLY BIOLOGICAL SEQUENCE ALIGNMENT EDITOR AND ANALYSIS PROGRAM FOR WINDOWS 95/98/ NT,1999-01-01,en
https://openalex.org/W2061977616,Firm resources and sustained competitive advantage,Firm resources and sustained competitive advantage,2004-05-19,en
https://openalex.org/W2109469951,The Strength of Weak Ties,The Strength of Weak Ties,1973-05-01,en
https://openalex.org/W2035618305,clusterProfiler: an R Package for Comparing Biological Themes Among Gene Clusters,clusterProfiler: an R Package for Comparing Biological Themes Among Gene Clusters,2012-03-28,en
https://openalex.org/W2067495470,An Inventory for Measuring Depression,An Inventory for Measuring Depression,1961-06-01,en
https://openalex.org/W3003257820,SciPy 1.0: fundamental algorithms for scientific computing in Python,SciPy 1.0: fundamental algorithms for scientific computing in Python,2020-02-03,en
https://openalex.org/W2099111195,Elements of Information Theory,Elements of Information Theory,2001-10-05,en
https://openalex.org/W2005501262,Preferred Reporting Items for Systematic Reviews and Meta-Analyses: The PRISMA Statement,Preferred Reporting Items for Systematic Reviews and Meta-Analyses: The PRISMA Statement,2009-08-18,en
https://openalex.org/W2037124948,Statistical Power Analysis for the Behavioral Sciences (2nd ed.).,Statistical Power Analysis for the Behavioral Sciences (2nd ed.).,1989-12-01,en
https://openalex.org/W2158217645,Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources,Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources,2008-12-18,en
https://openalex.org/W1990513740,Diffusion of Innovations 1,Diffusion of Innovations 1,2019-03-14,en
https://openalex.org/W2797247465,Multiple regression: testing and interpreting interactions,Multiple regression: testing and interpreting interactions,1992-02-01,en
https://openalex.org/W2056760934,Equation of State Calculations by Fast Computing Machines,Equation of State Calculations by Fast Computing Machines,1953-06-01,en
